Occupancy status,Housing type,Income class,Heating energy,Energy performance,Income class owner,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Landlords,Single-family,C1,Power,G,C1,3786.5254301195205,3594.759090623722,3406.4126479640686,3223.389393369758,3048.3847404918342,2881.239415228776,2721.767347102644,2569.7623292401818,2425.006295283848,2287.2746317044903,2156.361700763328,2032.0580953995448,1914.1515182037056,1802.4274324203247,1696.6695364649509,1596.6606553899232,1502.1825118753065,1413.0160140251903,1328.9417273292627,1249.7414984286297,1175.2004101826406,1105.1058888145478,1039.2493917576796,977.4274771358436,919.442671335734,865.1039107960562,814.2266900085709,766.6330352343555,722.1514276701528,680.6166632083299,641.8699385633598,605.7587028466163,572.1362954068211,540.8619825455203,511.80080889957713,484.82363798784684,459.80688548227306,436.63246133926714,415.18765169334046
Landlords,Single-family,C2,Power,G,C1,2404.513346976627,2268.1466178013293,2135.657755415947,2008.1954545580543,1887.3525724655854,1772.9047875328058,1664.6158572740592,1562.24192241122,1465.5372964732514,1374.2580976359993,1288.1842342753282,1207.0986393348717,1130.787508939633,1059.0404634446586,991.6506594334676,928.4155067662273,869.1362085660089,813.6179683779177,761.6702347050077,713.1075325023604,667.7509433045971,625.4263835068223,585.9655068143363,549.2062220291081,514.9930705550399,483.17733223032604,453.61700301829455,426.17664465677785,400.7272164796303,377.1458507128277,355.31580858729643,335.12618488925517,316.4715918719555,299.2520370638264,283.37276352819146,268.7441127424341,255.2812648390649,242.90408953662524,231.5369689809813
Landlords,Single-family,C3,Power,G,C1,4446.458955239427,4211.1744611217155,3981.0471983350667,3758.2774348397793,3545.95471333363,3343.8129668345955,3151.5574959003798,2968.872924958958,2795.43335220535,2630.9088411346534,2474.998984889246,2327.4022057471816,2187.816617547105,2055.9406650301444,1931.4735964504193,1814.1166402895751,1703.5725563902236,1599.5460091609748,1501.7441064574834,1409.8781932206941,1323.6662808086944,1242.831358141657,1167.103269650524,1096.219871674285,1029.9279419989425,967.9835751804055,910.1523024248189,856.2089496924249,805.9374880251115,759.1308177185599,715.5907876015074,675.1278950014001,637.5608037508991,602.7162983387519,570.4290877389691,540.5416889528047,512.90405924324,487.37345602866975,463.8142321371969
Landlords,Single-family,C4,Power,G,C1,1264.294136888815,1184.0131117373135,1106.9230812707456,1033.5469819521022,964.6188666429371,899.9321553461685,839.2797004359638,782.4560122831754,729.2600323238098,679.4967412323938,632.9872309375103,589.5586934497409,549.0443917445778,511.2835824333772,476.1214094900138,443.4090672118592,413.00341751618794,384.7669175789056,358.5675703252708,334.27914604264816,311.78167957456213,290.9605327256673,271.70659031634887,253.91636049756312,237.4919806317027,222.3410811720173,208.37660474710054,195.51657264646457,183.68385272908284,172.80591217671198,162.81465915570573,153.64617779318255,145.24046772176922,137.5412801831516,130.4959304289887,124.0551055372382,118.17269791927005,112.8056464002043,107.91377202944136
Landlords,Single-family,C5,Power,G,C1,521.7806407756099,488.3322561861248,456.2370127974572,425.71338976905423,397.06346987275833,370.19783493299974,345.0270049992797,321.4623290255101,299.41721580381693,278.80784975480907,259.55844011342725,241.5959199252553,224.84988469632162,209.25252567125494,194.73856330597374,181.2453501944377,168.71266939537713,157.08271778622196,146.30008797031368,136.31185245159088,127.06783057302704,118.52004084786519,110.62281024545716,103.33280608002667,96.60903876931246,90.41281013273596,84.70763800116241,79.45917178437999,74.63510748827784,70.20508547801072,66.14063017698393,62.41502969243363,59.00322817482503,55.881756581047085,53.02865355188893,50.42339528443923,48.046807642299655,45.88100009957068,43.90929668214627
Landlords,Single-family,C1,Power,F,C1,1058.7420916038577,1103.5071021521799,1131.3736721103016,1144.2121721036688,1152.1284192103583,1155.5417013628726,1154.6371456199727,1149.2871184421676,1139.3843999628093,1124.7649644708283,1105.892471742886,1083.2352110240317,1057.24993167429,1028.3723660787682,997.0177244828569,963.5656146164208,928.368053926364,891.7523784153346,854.0220904309701,815.4607617250091,776.3302153226182,736.8645531556551,697.2721467482444,657.7374712736726,618.4203810757216,579.4645181053331,540.9954240411683,503.12227769874545,465.939404125186,429.5279729568159,393.95751476874733,359.2867575634981,325.5645617380548,292.8309579749629,261.11745665435194,230.4487086917379,200.84297618635446,172.31281884907276,144.8656899698957
Landlords,Single-family,C2,Power,F,C1,3061.007870152493,3007.535242918168,2943.4269489561257,2870.4068453608206,2795.4453643232787,2718.9063802956307,2640.9930096750372,2561.7081522936414,2481.060433992778,2399.02426300552,2315.9444205177288,2232.160035522645,2147.995671148425,2063.756210675562,1979.7272889527367,1896.1674856627546,1813.3124550592693,1731.3764818405245,1650.5529784554894,1571.017695540934,1492.929352970049,1416.4242042104825,1341.617909055564,1268.6071843828165,1197.4702899436434,1128.271949305646,1061.06308648867,995.8822358177858,932.7568648741324,871.7046126579056,812.7349746880569,755.849590988499,701.0428701902912,648.302763655582,597.6115999104458,548.9470270285403,502.28237820755356,457.58728610574656,414.828189832082
Landlords,Single-family,C3,Power,F,C1,2948.7772796828963,2942.8499674906716,2917.2111891965696,2874.4321368526557,2826.753052506365,2774.7263139737465,2718.620786546862,2658.3403206407943,2593.810014120912,2524.900909315683,2452.192383330744,2376.262966420007,2297.6723485242483,2216.9509920646524,2134.600937229502,2051.079809099392,1966.8092914298102,1882.178072259193,1797.5426255318453,1713.232680862515,1629.5485118751021,1546.7545140902287,1465.0819835982454,1384.7316198625967,1305.873497783244,1228.656235722815,1153.2057018790986,1079.6271195558943,1008.0071042695913,938.4159955000389,870.9098976498541,805.5316562654384,742.3119631645895,681.2707644950674,622.4182948535284,565.7565081056391,511.2796847365526,458.97536176377525,408.8251208601905
Landlords,Single-family,C4,Power,F,C1,1321.661898442881,1303.1432761332042,1278.0541967918725,1247.3961263828305,1214.802740339246,1180.5565706113002,1144.8512748715489,1107.7766292925585,1069.4223745790505,1029.8647444073351,989.3505100243185,948.1158205501267,906.3822284472437,864.3547222305679,822.2225006543596,780.1561260009164,738.3097991347424,696.8224959101931,655.8186488366817,615.410327490042,575.6973232081474,536.7655174685361,498.68792546882764,461.5259243629148,425.329933964657,390.141702928473,355.9945949386745,322.9144604411868,290.9204420604981,260.0257566598158,230.2386582683476,201.5626292763957,173.99685417647623,147.53674583737146,122.17437291469517,97.89845894112072,74.69523444715755,66.47034417164853,66.42345977719809
Landlords,Single-family,C5,Power,F,C1,967.6098004756702,945.5450554456827,920.9648983514577,894.3507382190558,867.2936650967487,839.9099913262777,812.2778564066778,784.4319172370009,756.4059647286668,728.2281273555067,699.9960029988243,671.8026323496406,643.7349965274805,615.87326388457,588.2910758841574,561.0544722373342,534.222661759972,507.8484041586134,481.9782262669484,456.653387561605,431.9102172255299,407.7789653067322,384.2843596272422,361.44609296184046,339.2791491752495,317.79474285750865,297.0004359080436,276.9005472569316,257.49656627166763,238.7874847671411,220.7703032356241,203.44005700244455,186.78998787308757,170.8117979524573,155.49584223001344,140.83143320102482,126.80675538160037,113.40915559156304,100.62527736859953
