Energy performance,F,E,D,C,B,A
G,32.36378052537781,31.77995036135452,51.40137805105827,56.43533391860561,127.78552724950875,149.42321566106355
F,,20.195866961017824,42.52859006020764,35.95306402102338,86.04752236827215,125.4194942333844
E,,,27.063321472017613,33.41012119519949,47.613625299213496,105.91888260639983
D,,,,18.47370516711714,45.85040205195081,74.1514888869469
C,,,,,46.24183551550593,36.39446944640156
